Year,Historic mark-recapture border passage estimate,RR Canadian mainstem border passage estimate,RR Spawning escapement estimate,Historic Canadian origin total run size estimate,RR Canadian origin total run size estimate
1982,36598,54364.01,36243.55,147587.00,163100.43
1983,47741,76199.66,56152.47,160221.00,183906.96
1984,43911,86759.76,68931.36,111035.00,138446.79
1985,29881,58918.41,39518.40,145359.00,157689.94
1986,36479,71426.02,50493.53,159082.00,176468.02
1987,30823,53418.85,34240.40,174128.00,177744.31
1988,44445,73705.69,49113.45,145675.00,159524.50
1989,42620,80309.27,61021.28,164516.00,166704.07
1990,56679,106917.47,86489.34,151188.00,179393.25
1991,41187,73286.98,52397.42,124382.00,142804.77
1992,43185,67151.13,46369.07,154219.00,180950.37
1993,45027,74598.76,56038.74,131528.00,158954.18
1994,46680,85982.36,64912.91,172885.00,193971.24
1995,52353,93152.48,71115.11,168502.00,217203.54
1996,47955,96355.97,77020.35,182564.00,196012.28
1997,53400,101121.44,84339.29,161700.00,199952.77
1998,22588,42138.35,35965.82,88282.00,97281.46
1999,23716,59287.54,46946.01,110446.00,124337.60
2000,16173,27155.94,21909.44,52842.00,54110.34
2001,52207,80161.77,69423.36,85663.00,104227.31
2002,49214,58467.41,48397.21,81486.00,93991.09
2003,56929,105138.27,95243.32,149980.00,173361.82
2004,48111,67212.25,56069.41,117246.00,127303.44
2005,42245,81514.79,69344.07,123612.00,131942.29
2006,36748,73696.42,64371.82,119485.00,126966.71
2007,22120,41691.99,36207.21,88018.00,92909.13
2008,14666,38087.98,33921.93,62611.00,69729.75
2009,,69950.81,65020.17,87221.00,86771.10
2010,,35073.84,32215.13,59741.00,62615.33
2011,,52269.49,47015.24,71725.00,70606.42
2012,,34739.07,32323.37,48498.00,51612.69
2013,,30734.09,28509.32,37177.00,39640.43
2014,,63500.68,63391.57,64886.00,65127.74
2015,,83945.64,82685.37,87323.00,88355.12
2016,,72336.53,69235.46,83043.00,83688.37
2017,,73289.30,69382.95,92622.00,99776.40
2018,,57876.66,54569.57,76530.00,76862.68
2019,,45569.83,42217.98,72620.00,85412.52
2020,,33559.69,30634.93,45501.00,52119.94
2021,,31867.48,31520.32,32970.00,33260.22
2022,,12067.02,12005.98,13144.00,13354.88
2023,,14779.75,14576.33,,15819.75