Year,TyeeEscapement
1956,20160
1957,7745
1958,20994
1959,11019
1960,17692
1961,13500
1962,24940
1963,20200
1964,15851
1965,20374
1966,36601
1967,26585
1968,18022
1969,23453
1970,27597
1971,18881
1972,15868
1973,15475
1974,12546
1975,12675
1976,25444
1977,16617
1978,20157
1979,11509
1980,22092
1981,22566
1982,32946
1983,10506
1984,47716
1985,31767
1986,36872
1987,20835
1988,38344
1989,18991
1990,23267
1991,9723
1992,11328
1993,13999
1994,21866
1995,19554
1996,23409
1997,12714
1998,59022
1999,39363
2000,48741
2001,26373
2002,50297
2003,24422
2004,NA
2005,NA
2006,27500
2007,NA
2008,42440
2009,34180
2010,50489
2011,31809
2012,39964
2013,24256
2014,30250
2015,26553
2016,42439
2017,17078
2018,43238
2019,15606
2020,15280
2021,5164
2022,15204
2023,9295
2024,33313