cuid,cuname,gen_length,FULL_CU_IN,species_qualified
308,CK008-Middle Fraser-Fraser Canyon_SP_1.3,5,CK-8,CK
303,CK003-Lower Fraser River_FA_0.3,4,CK-3,CK
307,CK007-Maria Slough_SU_0.3,4,CK-7,CK
304,CK004-Lower Fraser River_SP_1.3,5,CK-4,CK
306,CK006-Lower Fraser River_SU_1.3,5,CK-6,CK
305,CK005-Lower Fraser River-Upper Pitt_SU_1.3,5,CK-5,CK
317,CK017-Lower Thompson_SP_1.2,4,CK-17,CK
309,CK009-Middle Fraser River-Portage_FA_1.3,5,CK-9,CK
310,CK010-Middle Fraser River_SP_1.3,5,CK-10,CK
311,CK011-Middle Fraser River_SU_1.3,5,CK-11,CK
318,CK018-North Thompson_SP_1.3,5,CK-18,CK
319,CK019-North Thompson_SU_1.3,5,CK-19,CK
315,CK015-Shuswap River_SU_0.3,4,CK-15,CK
316,CK016-South Thompson-Bessette Creek_SU_1.2,4,CK-16,CK
313,CK013-South Thompson_SU_0.3,4,CK-13,CK
314,CK014-South Thompson_SU_1.3,5,CK-14,CK
333,CK082-Upper Adams River_SU_x.x,5,CK-82,CK
312,CK012-Upper Fraser River_SP_1.3,5,CK-12,CK
701,Lower Fraser,4,CM-2,CM
705,Fraser Canyon,4,CO-5,CO
749,Interior Fraser,4,CO-48,CO
704,Lillooet,4,CO-4,CO
750,Lower Fraser,4,CO-47,CO
707,Lower Thompson,4,CO-7,CO
709,North Thompson,4,CO-9,CO
708,South Thompson,4,CO-8,CO
710,Fraser River,2,PKO-1,PKO
751,Adams and Momich Lakes_Early Summer,4,SEL-09-xx,SEL
719,Anderson/Seton_Early Summer,4,SEL-06-01,SEL
735,Bowron_Early Summer,4,SEL-07-01,SEL
720,Chilko_Early Summer,4,SEL-06-02,SEL
721,Chilko_Summer,4,SEL-06-03,SEL
711,Chilliwack_Early Summer,4,SEL-03-01,SEL
712,Cultus_Late,4,SEL-03-02,SEL
725,Francois/Fraser_Summer,4,SEL-06-07,SEL
713,Harrison-downstream migrating_Late,4,SEL-03-03,SEL
714,Harrison-upstream migrating_Late,4,SEL-03-04,SEL
740,Kamloops_Early Summer,4,SEL-10-01,SEL
716,Lillooet/Harrison_Late,4,SEL-04-01,SEL
727,Nadina/Francois_Early Summer,4,SEL-06-20,SEL
718,Nahatlatch_Early Summer,4,SEL-05-02,SEL
752,North Barriere_Early Summer,4,SEL-10-03,SEL
715,Pitt_Early Summer,4,SEL-03-05,SEL
728,Quesnel_Summer,4,SEL-06-10,SEL
729,Seton_Late,4,SEL-06-11,SEL
738,Shuswap_Early Summer,4,SEL-09-02,SEL
739,Shuswap_Late,4,SEL-09-03,SEL
732,Takla/Trembleur_Early Stuart,4,SEL-06-14,SEL
731,Takla/Trembleur/Stuart_Summer,4,SEL-06-13,SEL
734,Taseko_Early Summer,4,SEL-06-16,SEL
745,Harrison River,4,SER-03,SER
742,Widgeon,4,SER-02,SER
302,CK002-Boundary Bay_FA_0.3,5,CK-2,CK
906,Boundary Bay,4,CO-1,CO
322,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,3,CK-22,CK
321,CK021-East Vancouver Island-Goldstream_FA_0.x,3,CK-21,CK
324,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,3,CK-25,CK
325,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,4,CK-27,CK
323,CK023-East Vancouver Island-Nanaimo_SP_1.x,4,CK-23,CK
334,CK083-East Vancouver Island-Georgia Strait_SU_0.3,4,CK-83,CK
331,CK034-Homathko_SU_x.x,5,CK-34,CK
332,CK035-Klinaklini_SU_1.3,5,CK-35,CK
327,CK029-East Vancouver Island-North_FA_0.x,4,CK-29,CK
330,CK033-West Vancouver Island-North_FA_0.x,4,CK-33,CK
320,CK020-Southern Mainland-Georgia Strait_FA_0.x,4,CK-20,CK
326,CK028-Southern Mainland-Southern Fjords_FA_0.x,4,CK-28,CK
328,CK031-West Vancouver Island-South_FA_0.x,4,CK-31,CK
329,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,4,CK-32,CK
901,Bute Inlet,4,CM-7,CM
904,Georgia Strait,4,CM-4,CM
905,Howe Sound-Burrand Inlet,4,CM-3,CM
902,Loughborough,4,CM-6,CM
903,Northeast Vancouver Island,4,CM-5,CM
977,Northwest Vancouver Island,4,CM-11,CM
900,Southern Coastal Streams,4,CM-8,CM
978,Southwest & West  Vancouver Island,4,CM-10,CM
979,Upper Knight,4,CM-9,CM
915,Clayoquot,4,CO-18,CO
910,East Vancouver Island-Georgia Strait,4,CO-13,CO
911,East Vancouver Island-Johnstone Strait-Southern Fjords,4,CO-14,CO
908,Georgia Strait Mainland,4,CO-11,CO
916,Homathko-Klinaklini Rivers,4,CO-19,CO
907,Howe Sound-Burrard Inlet,4,CO-10,CO
913,Juan de Fuca-Pachena,4,CO-16,CO
912,Nahwitti Lowland,4,CO-15,CO
909,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,4,CO-12,CO
914,West Vancouver Island,4,CO-17,CO
917,Georgia Strait,2,PKE-1,PKE
919,Northwest Vancouver Island,2,PKE-3,PKE
920,Southern Fjords,2,PKE-4,PKE
918,West Vancouver Island,2,PKE-2,PKE
921,East Howe Sound-Burrard Inlet,2,PKO-2,PKO
923,East Vancouver Island-Johnstone Strait,2,PKO-4,PKO
922,Georgia Strait,2,PKO-3,PKO
924,Nahwitti,2,PKO-5,PKO
926,Southern Fjords,2,PKO-7,PKO
925,West Vancouver Island,2,PKO-6,PKO
945,Alice,5,SEL-13-01,SEL
946,Canoe Creek,5,SEL-13-02,SEL
947,Cecilia,5,SEL-13-03,SEL
948,Cheewat,5,SEL-13-04,SEL
949,Clayoquot,5,SEL-13-05,SEL
950,Deserted,5,SEL-13-06,SEL
951,Fairy,5,SEL-13-07,SEL
927,Fulmore,5,SEL-11-01,SEL
952,Great Central,5,SEL-13-08,SEL
953,Henderson,5,SEL-13-09,SEL
954,Hesquiat,5,SEL-13-10,SEL
928,Heydon,5,SEL-11-02,SEL
955,Hobiton,5,SEL-13-11,SEL
937,Ida/Bonanza,5,SEL-12-01,SEL
956,Jansen,5,SEL-13-12,SEL
929,Kakweiken,5,SEL-11-03,SEL
957,Kanim,5,SEL-13-13,SEL
958,Kennedy,5,SEL-13-14,SEL
930,Loose,5,SEL-11-04,SEL
931,Mackenzie,5,SEL-11-05,SEL
959,Maggie,5,SEL-13-15,SEL
960,Megin,5,SEL-13-16,SEL
961,Muchalat,5,SEL-13-17,SEL
962,Muriel,5,SEL-13-18,SEL
938,Nahwitti,5,SEL-12-02,SEL
939,Nimpkish,5,SEL-12-03,SEL
963,Nitinat,5,SEL-13-19,SEL
964,O'Connell,5,SEL-13-20,SEL
966,Park River,5,SEL-13-22,SEL
932,Phillips,5,SEL-11-06,SEL
967,Power,5,SEL-13-23,SEL
941,Quatse,4,SEL-12-05,SEL
933,Sakinaw,5,SEL-11-07,SEL
942,Schoen,5,SEL-12-06,SEL
943,Shushartie,5,SEL-12-07,SEL
969,Sproat,5,SEL-13-25,SEL
935,Tzoonie,5,SEL-11-09,SEL
976,Vernon,5,SEL-12-09,SEL
936,Village Bay,5,SEL-11-10,SEL
970,William/Brink,5,SEL-13-26,SEL
944,Woss,5,SEL-12-08,SEL
973,East Vancouver Island and Georgia Strait,5,SER-08,SER
974,NW Vancouver Island,5,SER-011,SER
971,Southern Fjords,5,SER-009,SER
972,West Vancouver Island,5,SER-010,SER
500,Smith Inlet,4,CM-12,CM
501,Rivers Inlet,4,CM-13,CM
502,Wannock,4,CM-14,CM
503,Spiller-Fitz-Hugh-Burke,4,CM-15,CM
504,Bella Colla-Dean Rivers,4,CM-16,CM
505,Bella Coola River-Late,4,CM-17,CM
506,Hecate Lowlands,4,CM-18,CM
507,Mussel-Kynock,4,CM-19,CM
508,Douglas-Gardner,4,CM-20,CM
509,Docee,4,CK-36,CK
510,Rivers Inlet,5,CK-37,CK
511,Wannock,5,CK-38,CK
512,Bella Coola-Bentinck,5,CK-39,CK
513,Dean River,5,CK-40,CK
514,NCC-late timing,5,CK-41,CK
515,NCC-early timing,5,CK-42,CK
516,Smith Inlet,4,CO-20,CO
517,Rivers Inlet,4,CO-21,CO
518,Bella Coola-Dean Rivers,4,CO-22,CO
519,Mussel-Kynoch,4,CO-26,CO
520,Hecate Strait Mainland,4,CO-27,CO
521,Brim-Wahoo,4,CO-28,CO
522,Douglas Channel-Kitimat Arm,4,CO-29,CO
523,N Coastal Streams,4,CO-30,CO
524,Long,5,SEL-15-01,SEL
525,Owikeno,5,SEL-15-02,SEL
526,Owikeno-Late,5,SEL-15-03,SEL
527,Wannock[Owikeno],5,SEL-15-04,SEL
528,South Atnarko Lakes,5,SX_528,SEL
529,Backland,5,SEL-18-01,SEL
530,Soda Creek,5,SEL-18-10,SEL
531,Whalen,5,SEL-18-11,SEL
532,Canoona,5,SEL-18-02,SEL
533,Dome ,5,SEL-18-03,SEL
534,Evelyn,5,SEL-18-04,SEL
535,Kainet Creek,5,SEL-18-05,SEL
536,Kimsquit,5,SEL-18-06,SEL
537,Kitkiata,5,SEL-18-07,SEL
538,Kitlope,5,SEL-18-08,SEL
539,Pine River,5,SEL-18-09,SEL
540,Banks,5,SEL-19-01,SEL
541,Bloomfield,5,SEL-19-02,SEL
542,Bolton Creek,5,SEL-19-03,SEL
543,Bonilla,5,SEL-19-04,SEL
544,Borrowman Creek,5,SEL-19-05,SEL
545,Busey Creek,5,SEL-19-06,SEL
546,Cartwright Creek,5,SEL-19-07,SEL
547,Chic Chic ,5,SEL-19-08,SEL
548,Citeyats,5,SEL-19-09,SEL
549,Fannie Cove,5,SEL-19-10,SEL
550,Curtis Inlet,5,SEL-19-11,SEL
551,Dallain Creek,5,SEL-19-12,SEL
552,Deer,5,SEL-19-13,SEL
553,Devon,5,SEL-19-14,SEL
554,Douglas Creek,5,SEL-19-15,SEL
555,Elizabeth,5,SEL-19-16,SEL
556,Elsie/Hoy,5,SEL-19-17,SEL
557,End Hill Creek,5,SEL-19-18,SEL
558,Evinrude Inlet,5,SEL-19-19,SEL
559,Freeda,5,SEL-19-20,SEL
560,Hartley Bay,5,SEL-19-21,SEL
561,Hevenor Inlet,5,SEL-19-22,SEL
562,Higgins Lagoon,5,SEL-19-23,SEL
563,Kadjusdis River,5,SEL-19-24,SEL
564,Kdelmashan Creek,5,SEL-19-25,SEL
565,Keecha,5,SEL-19-26,SEL
566,Kent Inlet Lagoon Creek,5,SEL-19-27,SEL
567,Kenzuwash Creeks,5,SEL-19-28,SEL
568,Keswar Creek,5,SEL-19-29,SEL
569,Kildidt Creek,5,SEL-19-30,SEL
570,Kildidt Lagoon Creek,5,SEL-19-31,SEL
571,Kisameet,5,SEL-19-32,SEL
572,Koeye,5,SEL-19-33,SEL
573,Kooryet,5,SEL-19-34,SEL
574,Kunsoot River,5,SEL-19-35,SEL
575,Kwakwa Creek,5,SEL-19-36,SEL
576,Lewis Creek,5,SEL-19-37,SEL
577,Limestone Creek,5,SEL-19-38,SEL
578,Lowe/Simpson/Weir,5,SEL-19-39,SEL
579,Mary Cove Creek,5,SEL-19-40,SEL
580,Mcdonald Creek,5,SEL-19-41,SEL
581,Mcloughlin,5,SEL-19-42,SEL
582,Mikado,5,SEL-19-43,SEL
583,Monckton Inlet Creek,5,SEL-19-44,SEL
584,Namu,5,SEL-19-45,SEL
585,Port John,5,SEL-19-46,SEL
586,Powles Creek,5,SEL-19-47,SEL
587,Price Creek,5,SEL-19-48,SEL
588,Roderick,5,SEL-19-50,SEL
589,Ryan Creek,5,SEL-19-51,SEL
590,Salter,5,SEL-19-52,SEL
591,Scoular/Kilpatrick,5,SEL-19-53,SEL
592,Sheneeza Inlet,5,SEL-19-55,SEL
593,Ship Point Creek,5,SEL-19-56,SEL
594,Spencer Creek,5,SEL-19-57,SEL
595,Stannard Creek,5,SEL-19-58,SEL
596,Talamoosa Creek,5,SEL-19-59,SEL
597,Tankeeah River,5,SEL-19-60,SEL
598,Treneman Creek,5,SEL-19-61,SEL
599,Tsimtack/Moore/Roger,5,SEL-19-62,SEL
600,Tuno Creek East,5,SEL-19-63,SEL
601,Tuno Creek West,5,SEL-19-64,SEL
602,Tyler Creek,5,SEL-19-65,SEL
603,Wale Creek,5,SEL-19-66,SEL
604,Watt Bay,5,SEL-19-67,SEL
605,West Creek,5,SEL-19-68,SEL
606,Yaaklele Lagoon,5,SEL-19-69,SEL
607,Yeo,5,SEL-19-70,SEL
608,Hecate Lowlands,2,PKE-05,Pink
609,Hecate Strait-Fjords,2,PKE-06,Pink
610,Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean,2,PKO-08,Pink
611,Hecate Strait-Lowlands,2,PKO-12,Pink
612,Hecate Strait-Fjords,2,PKO-13,Pink
613,Rivers-Smith Inlets,4,SER-12,SER
614,Northern Coastal Fjords,4,SER-16,SEL
615,Northern Coastal,4,SER-17,SER
401,Portland Sound-Observatory Inlet-Lower Nass,5,CK-57,CK
402,Upper Nass,5,CK-58,CK
405,Lower Nass,4,CM-31,CM
406,Portland Canal-Observatory,4,CM-32,CM
404,Portland Inlet,4,CM-30,CM
408,Lower Nass,4,CO-35,CO
410,Portland Sound-Observatory Inlet-Portland Canal,4,CO-37,CO
409,Upper Nass,4,CO-36,CO
414,Nass-Portland-Observatory,2,PKO-17,PKO
412,Upper Nass,,PKO-18,PKO
415,Upper Nass,,PKE-12,PKE
420,Bowser,,SEL-24-01,SEL
418,Clements,,SEL-23-01,SEL
421,Damdochax,5,SEL-24-02,SEL
422,Fred Wright,5,SEL-24-03,SEL
423,Kwinageese,,SEL-24-04,SEL
419,Leverson,,SEL-23-02,SEL
424,Meziadin,5,SEL-24-05,SEL
425,Oweegee,,SEL-24-06,SEL
416,Prudhomme,5,SEL-19-49,SEL
417,Shawatlan,5,SEL-19-54,SEL
426,Lower Nass-Portland,4,SER-20,SER
427,Upper Nass River,4,SER-21,SER
205,Ecstall,6,CK-46,CK
210,Lower Skeena-CK,6,CK-48,CK
206,Kalum-early timing,6,CK-49,CK
207,Kalum-late timing,6,CK-50,CK
222,Middle Skeena-large lakes,6,CK-53,CK
217,Middle Skeena-mainstem tributaries,6,CK-54,CK
221,Upper Bulkley River,6,CK-55,CK
224,Skeena Estuary-CK,6,CK-45,CK
212,Upper Skeena-CK,6,CK-56,CK
227,Lakelse-CK,6,CK-51,CK
229,Zymoetz,6,CK-80,CK
241,Sicintine,6,CK-81,CK
211,Lower Skeena-CM,4,CM-27,CM
214,Middle Skeena-CM,,CM-28,CM
220,Skeena Estuary-CM,,CM-26,CM
242,Upper Skeena,6,NA,CM
202,Lower Skeena-CO,4,CO-32,CO
215,Middle Skeena-CO,4,CO-33,CO
231,Upper Skeena-CO,4,CO-34,CO
225,Skeena Estuary-CO,4,CO-31,CO
240,Lower Skeena (even),2,NA,PKE
213,Middle & Upper Skeena (odd),2,PKO-16,PKO
219,Nass-Skeena Estuary (even),2,PKE-07,PKE
218,Middle-Upper Skeena (even),2,PKE-08,PKE
223,Nass-Skeena Estuary (odd),2,PKO-14,PKO
209,Lower Skeena (odd),2,PKO-15,PKO
172,Aldrich,5,NA,SEL
173,Dennis,5,NA,SEL
179,Atna,5,NA,SEL
182,Club Lake,5,NA,SEL
184,Maxan,5,NA,SEL
204,Babine-Pinkut,5,NA,SEL
243,Onerka,5,NA,SEL
174,Ecstall/Lower,5,SEL-20-04,SEL
181,Bulkley,5,SEL-21-03,SEL
194,Johanson,5,SEL-22-05,SEL
195,Kluatantan,5,SEL-22-06,SEL
196,Kluayaz,5,SEL-22-07,SEL
198,Sicintine,5,SEL-22-09,SEL
199,Slamgeesh,5,SEL-22-10,SEL
200,Spawning,5,SEL-22-11,SEL
201,Sustut,5,SEL-22-12,SEL
230,Footsore/Hodder,5,SEL-21-12,SEL
171,Alastair,6,SEL-20-01,SEL
175,Johnston,5,SEL-20-05,SEL
176,Kitsumkalum,5,SEL-20-06,SEL
177,Lakelse,5,SEL-20-07,SEL
178,Mcdonell,5,SEL-20-08,SEL
180,Babine,5,SEL-21-02-EW,SEL
203,Babine (enhanced),5,SEL-21-02-F,SEL
186,Nilkitkwa,5,SEL-21-02-LW,SEL
189,Tahlo/Morrison,5,SEL-21-02-MW,SEL
183,Gitanyow,5,SEL-21-05,SEL
185,Morice,6,SEL-21-07,SEL
187,Stephens,5,SEL-21-09,SEL
188,Swan,5,SEL-21-10,SEL
190,Asitika,5,SEL-22-01,SEL
191,Azuklotz,5,SEL-22-02,SEL
192,Bear,5,SEL-22-03,SEL
193,Damshilgwit,5,SEL-22-04,SEL
197,Motase,5,SEL-22-08,SEL
226,Skeena River,5,SER-18,SER
216,Skeena River-high interior,5,SER-19,SER