year,runsize,escapement
1985,847594,409359
1986,660599,215189
1987,567005,214978
1988,408756,157305
1989,588145,128368
1990,465816,185629
1991,961303,321915
1992,1966855,673731
1993,2139071,537033
1994,838561,314128
1995,1176010,270813
1996,1053670,220313
1997,995997,256033
1998,708435,263016
1999,844711,212516
2000,621805,205121
2001,578490,169000
2002,1397278,405882
2003,1181556,261981
2004,980182,218666
2005,663874,225649
2006,778628,254184
2007,591622,160591
2008,375900,217852
2009,569658,239203
2010,432971,224624
2011,547724,274721
2012,475673,202670
2013,489840,209643
2014,547081,259730
2015,862987,381647
2016,431745,273686
2017,366867,223187
2018,316378,222986
2019,373660,258705
2020,323160,244136