Date,Eagle sonar estimate,Eagle sonar expanded estimate,U.S. harvest above Eagle sonar,U.S./Canada mainstem border passage estimate,Canadian mainstem harvest,Spawning escapement estimate
1980,,,,39130,16218,22912
1981,,,,66347,19281,47066
1982,,,,47049,15091,31958
1983,,,,118365,27490,90875
1984,,,,81900,25267,56633
1985,,,,99775,37765,62010
1986,,,,101826,13886,87940
1987,,,,125121,44345,80776
1988,,,,69280,32494,36786
1989,,,,55861,20111,35750
1990,,,,82947,31212,51735
1991,,,,112303,33842,78461
1992,,,,67962,18880,49082
1993,,,,42165,12422,29743
1994,,,,133712,35354,98358
1995,,,,198203,40111,158092
1996,,,,143758,21329,122429
1997,,,,94725,9306,85419
1998,,,,48047,1795,46252
1999,,,,72188,13636,58552
2000,,,,57978,4246,53732
2001,,,,38769,5278,33491
2002,,,,104853,6232,98621
2003,,,,153656,10523,143133
2004,,,,163625,9545,154080
2005,,,,451477,13979,437498
2006,236386,245290,17775,227515,6617,220898
2007,235871,265008,18691,246317,9330,236987
2008,171347,185409,11381,174028,6130,167898
2009,95462,101734,6995,94739,1113,93626
2010,125547,132930,11432,121498,3709,117789
2011,212162,224355,12477,211878,6312,205566
2012,147710,153248,11681,141567,3905,137662
2013,200754,216791,12642,204149,3887,200262
2014,167715,172887,13041,159846,3050,156796
2015,112136,125095,12540,112555,3897,108658
2016,144035,161027,13015,148012,2745,145267
2017,407166,419099,14110,404989,3404,401585
2018,136732,168798,11715,157083,2957,154126
2019,101678,113256,10759,102497,2759,99738
2020,20766,23512,0,23512,0,23512
2021,19668,23170,0,23170,0,23170
2022,21063,22075,16,22059,0,22059
2023,20812,22179,89,22090,0,22090
2024,"14,003","16,204",30,16174,0,16174